"REF_DATE","GEO","DGUID","Education","Donation statistics (UOM)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644129","2.3.2","271","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644130","2.3.3","67","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644131","2.3.4","24.6","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Population distribution","Percent","239","units","0","v95644132","2.3.5","27.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644133","2.3.6","19.7","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644134","2.4.1","93.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644135","2.4.2","359","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644136","2.4.3","128","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644137","2.4.4","39.4","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644138","2.4.5","29.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644139","2.4.6","31.5","","","","1"
"2013","Newfoundland and Labrador","2016A000210","University degree","Donor rate","Percent","239","units","0","v95644140","2.5.1","93.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","University degree","Average annual donations","Dollars","81","units","0","v95644141","2.5.2","550","","","","0"
"2013","Newfoundland and Labrador","2016A000210","University degree","Median annual donations","Dollars","81","units","0","v95644142","2.5.3","257","","","","0"
"2013","Newfoundland and Labrador","2016A000210","University degree","Total annual donations","Dollars","81","millions","6","v95644143","2.5.4","37.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","University degree","Population distribution","Percent","239","units","0","v95644144","2.5.5","18.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","University degree","Percentage of total donation value","Percent","239","units","0","v95644145","2.5.6","29.7","","","","1"
"2013","Prince Edward Island","2016A000211","All education levels","Donor rate","Percent","239","units","0","v95644146","3.1.1","84.5","","","","1"
"2013","Prince Edward Island","2016A000211","All education levels","Average annual donations","Dollars","81","units","0","v95644147","3.1.2","505","","","","0"
"2013","Prince Edward Island","2016A000211","All education levels","Median annual donations","Dollars","81","units","0","v95644148","3.1.3","159","","","","0"
"2013","Prince Edward Island","2016A000211","All education levels","Total annual donations","Dollars","81","millions","6","v95644149","3.1.4","49.3","","","","1"
"2013","Prince Edward Island","2016A000211","All education levels","Population distribution","Percent","239","units","0","v95644150","3.1.5","100.0","","","","1"
"2013","Prince Edward Island","2016A000211","All education levels","Percentage of total donation value","Percent","239","units","0","v95644151","3.1.6","100.0","","","","1"
"2013","Prince Edward Island","2016A000211","Less than high school","Donor rate","Percent","239","units","0","v95644152","3.2.1","72.7","","","","1"
"2013","Prince Edward Island","2016A000211","Less than high school","Average annual donations","Dollars","81","units","0","v95644153","3.2.2","289","","","","0"
"2013","Prince Edward Island","2016A000211","Less than high school","Median annual donations","Dollars","81","units","0","v95644154","3.2.3","106","E","","","0"
"2013","Prince Edward Island","2016A000211","Less than high school","Total annual donations","Dollars","81","millions","6","v95644155","3.2.4","4.6","","","","1"
"2013","Prince Edward Island","2016A000211","Less than high school","Population distribution","Percent","239","units","0","v95644156","3.2.5","19.0","","","","1"
"2013","Prince Edward Island","2016A000211","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644157","3.2.6","9.3","E","","","1"
"2013","Prince Edward Island","2016A000211","Graduated from high school","Donor rate","Percent","239","units","0","v95644158","3.3.1","79.4","","","","1"
"2013","Prince Edward Island","2016A000211","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644159","3.3.2","319","","","","0"
"2013","Prince Edward Island","2016A000211","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644160","3.3.3","100","E","","","0"
"2013","Prince Edward Island","2016A000211","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644161","3.3.4","8.7","","","","1"
"2013","Prince Edward Island","2016A000211","Graduated from high school","Population distribution","Percent","239","units","0","v95644162","3.3.5","29.3","","","","1"
"2013","Prince Edward Island","2016A000211","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644163","3.3.6","17.6","","","","1"
"2013","Prince Edward Island","2016A000211","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644164","3.4.1","86.5","","","","1"
"2013","Prince Edward Island","2016A000211","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644165","3.4.2","572","","","","0"
"2013","Prince Edward Island","2016A000211","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644166","3.4.3","240","","","","0"
"2013","Prince Edward Island","2016A000211","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644167","3.4.4","18.5","","","","1"
"2013","Prince Edward Island","2016A000211","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644168","3.4.5","31.9","","","","1"
"2013","Prince Edward Island","2016A000211","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644169","3.4.6","37.5","","","","1"
"2013","Prince Edward Island","2016A000211","University degree","Donor rate","Percent","239","units","0","v95644170","3.5.1","95.7","","","","1"
"2013","Prince Edward Island","2016A000211","University degree","Average annual donations","Dollars","81","units","0","v95644171","3.5.2","802","","","","0"
